"iv_malla_modi_id";"ano";"ndvi_i";"lng";"lat"
216748;2012;0.60;-3.41729926671795;36.9693285180815
216749;2000;0.72;-3.41469170629154;36.9693285180815
216749;2001;0.73;-3.41469170629154;36.9693285180815
216749;2002;0.74;-3.41469170629154;36.9693285180815
216749;2003;0.73;-3.41469170629154;36.9693285180815
216749;2004;0.71;-3.41469170629154;36.9693285180815
216749;2005;0.70;-3.41469170629154;36.9693285180815
216749;2006;0.72;-3.41469170629154;36.9693285180815
216749;2007;0.72;-3.41469170629154;36.9693285180815
216749;2008;0.67;-3.41469170629154;36.9693285180815
216749;2009;0.71;-3.41469170629154;36.9693285180815
216749;2010;0.72;-3.41469170629154;36.9693285180815
216749;2011;0.69;-3.41469170629154;36.9693285180815
216749;2012;0.70;-3.41469170629154;36.9693285180815
216750;2000;0.72;-3.41208414586513;36.9693285180815
216750;2001;0.74;-3.41208414586513;36.9693285180815
216750;2002;0.74;-3.41208414586513;36.9693285180815
216750;2003;0.72;-3.41208414586513;36.9693285180815
216750;2004;0.71;-3.41208414586513;36.9693285180815
216750;2005;0.72;-3.41208414586513;36.9693285180815
216750;2006;0.74;-3.41208414586513;36.9693285180815
216750;2007;0.72;-3.41208414586513;36.9693285180815
216750;2008;0.68;-3.41208414586513;36.9693285180815
216750;2009;0.72;-3.41208414586513;36.9693285180815
216750;2010;0.73;-3.41208414586513;36.9693285180815
216750;2011;0.72;-3.41208414586513;36.9693285180815
216750;2012;0.72;-3.41208414586513;36.9693285180815
216751;2000;0.71;-3.40947658543872;36.9693285180815
216751;2001;0.70;-3.40947658543872;36.9693285180815
216751;2002;0.74;-3.40947658543872;36.9693285180815
216751;2003;0.72;-3.40947658543872;36.9693285180815
216751;2004;0.71;-3.40947658543872;36.9693285180815
216751;2005;0.69;-3.40947658543872;36.9693285180815
216751;2006;0.71;-3.40947658543872;36.9693285180815
216751;2007;0.71;-3.40947658543872;36.9693285180815
216751;2008;0.67;-3.40947658543872;36.9693285180815
216751;2009;0.72;-3.40947658543872;36.9693285180815
216751;2010;0.73;-3.40947658543872;36.9693285180815
216751;2011;0.70;-3.40947658543872;36.9693285180815
216751;2012;0.71;-3.40947658543872;36.9693285180815
216752;2000;0.71;-3.40686902501231;36.9693285180815
216752;2001;0.71;-3.40686902501231;36.9693285180815
216752;2002;0.74;-3.40686902501231;36.9693285180815
216752;2003;0.73;-3.40686902501231;36.9693285180815
216752;2004;0.70;-3.40686902501231;36.9693285180815
216752;2005;0.68;-3.40686902501231;36.9693285180815
216752;2006;0.70;-3.40686902501231;36.9693285180815
216752;2007;0.70;-3.40686902501231;36.9693285180815
216752;2008;0.65;-3.40686902501231;36.9693285180815
216752;2009;0.69;-3.40686902501231;36.9693285180815
216752;2010;0.73;-3.40686902501231;36.9693285180815
